Value,Year,Month,Seasonal Adjustment,Country
203.6868410704588,2020,Mar,NSA,North America
12.200887619546107,2020,Apr,NSA,North America
13.160433736185803,2020,May,NSA,North America
17.539940653026814,2020,Jun,NSA,North America
16.87810137,2020,Jul,NSA,North America
35.63134514,2020,Aug,NSA,North America
29.685334311,2020,Sep,NSA,North America
27.14673441,2020,Oct,NSA,North America
22.34189827,2020,Nov,NSA,North America
38.27815087,2020,Dec,NSA,North America
2.46816519988163,2021,Jan *,NSA,North America
7.993675213291264,2021,Feb *,NSA,North America
9.771111586827118,2021,Mar *,NSA,North America
12.890859510294247,2021,Apr *,NSA,North America
11.476056867274222,2021,May *,NSA,North America
12.883682622431584,2021,Jun *,NSA,North America
38.83405797851471,2021,Jul,NSA,North America
56.67669310861133,2021,Aug,NSA,North America
55.55972900214417,2021,Sep,NSA,North America
58.790723572107446,2021,Oct,NSA,North America
136.2117436663172,2021,Nov,NSA,North America
212.42685982367118,2021,Dec,NSA,North America
161.2430761291394,2022,Jan,NSA,North America
113.06134929415302,2022,Feb,NSA,North America
185.96174815765914,2022,Mar,NSA,North America
315.03952446927957,2022,Apr,NSA,North America
373.290562147498,2022,May ,NSA,North America
307.16921880872616,2022,June,NSA,North America
437.7147634781608,2022,July,NSA,North America
569.713432638865,2022,Aug,NSA,North America
417.9335903060332,2022,Sep,NSA,North America
488.30703334798955,2022,Oct,NSA,North America
230.08701039829558,2022,Nov,NSA,North America
351.69140086976745,2022,Dec†,NSA,North America
3704.8345323387316,2018,Feb,NSA,Europe
4165.622824517005,2018,Mar,NSA,Europe
6078.356023872903,2018,Apr,NSA,Europe
5825.233144873889,2018,May,NSA,Europe
7648.468341495356,2018,Jun,NSA,Europe
7415.573112586743,2018,Jul,NSA,Europe
9366.077865517387,2018,Aug,NSA,Europe
7382.7266381832105,2018,Sep,NSA,Europe
6695.935868362389,2018,Oct,NSA,Europe
4116.854244509632,2018,Nov,NSA,Europe
3787.614632076846,2018,Dec,NSA,Europe
4206.8657844786385,2019,Jan,NSA,Europe
4210.342594642129,2019,Feb,NSA,Europe
5096.350937205022,2019,Mar,NSA,Europe
6252.06335900314,2019,Apr,NSA,Europe
6510.243867415863,2019,May,NSA,Europe
7535.839288624718,2019,Jun,NSA,Europe
7038.593677443078,2019,Jul,NSA,Europe
9345.731803312596,2019,Aug,NSA,Europe
7707.797056938662,2019,Sep,NSA,Europe
6684.57381381964,2019,Oct,NSA,Europe
4216.342545969421,2019,Nov,NSA,Europe
3666.159415956298,2019,Dec,NSA,Europe
3993.2940390814324,2020,Jan,NSA,Europe
3760.447814448083,2020,Feb,NSA,Europe
2211.83858774998,2020,Mar,NSA,Europe
145.02400643890257,2020,Apr,NSA,Europe
220.4596252706796,2020,May,NSA,Europe
379.081467789518,2020,Jun,NSA,Europe
1286.6996804,2020,Jul,NSA,Europe
2579.4039533,2020,Aug,NSA,Europe
1923.0148303,2020,Sep,NSA,Europe
1192.0466092,2020,Oct,NSA,Europe
490.26725469999997,2020,Nov,NSA,Europe
510.0432512,2020,Dec,NSA,Europe
73.41512686000965,2021,Jan *,NSA,Europe
143.7781307331963,2021,Feb *,NSA,Europe
178.76002440679082,2021,Mar *,NSA,Europe
146.72497012040134,2021,Apr *,NSA,Europe
216.61510478736756,2021,May *,NSA,Europe
369.2296230922308,2021,Jun *,NSA,Europe
1280.5629110901177,2021,Jul,NSA,Europe
2696.039419512003,2021,Aug,NSA,Europe
3280.761227977521,2021,Sep,NSA,Europe
2812.733735100366,2021,Oct,NSA,Europe
2276.605988738232,2021,Nov,NSA,Europe
2093.5303317644994,2021,Dec,NSA,Europe
1724.590395923376,2022,Jan,NSA,Europe
2311.5253001142682,2022,Feb,NSA,Europe
3052.8322413265932,2022,Mar,NSA,Europe
4796.148458699103,2022,Apr,NSA,Europe
5036.096256122089,2022,May ,NSA,Europe
6631.503276996713,2022,June,NSA,Europe
5934.857649441555,2022,July,NSA,Europe
7496.653688442763,2022,Aug,NSA,Europe
6990.964039033216,2022,Sep,NSA,Europe
5990.128941465711,2022,Oct,NSA,Europe
3368.252935900889,2022,Nov,NSA,Europe
2762.759376993988,2022,Dec†,NSA,Europe
3364.8630267535614,2018,Feb,NSA,Europe - European Union
3911.1414280012004,2018,Mar,NSA,Europe - European Union
5632.226496707873,2018,Apr,NSA,Europe - European Union
5534.996301033566,2018,May,NSA,Europe - European Union
7160.806546120463,2018,Jun,NSA,Europe - European Union
6887.8327678295245,2018,Jul,NSA,Europe - European Union
8929.638819649528,2018,Aug,NSA,Europe - European Union
6850.0904871914645,2018,Sep,NSA,Europe - European Union
6262.846469929502,2018,Oct,NSA,Europe - European Union
3816.256783133677,2018,Nov,NSA,Europe - European Union
3513.471412419715,2018,Dec,NSA,Europe - European Union
3851.2624224297415,2019,Jan,NSA,Europe - European Union
3816.0344742009574,2019,Feb,NSA,Europe - European Union
4698.912209429443,2019,Mar,NSA,Europe - European Union
5673.57131498982,2019,Apr,NSA,Europe - European Union
6142.289759783593,2019,May,NSA,Europe - European Union
7099.220602169799,2019,Jun,NSA,Europe - European Union
6567.958732763438,2019,Jul,NSA,Europe - European Union
8597.306476051477,2019,Aug,NSA,Europe - European Union
7147.323241407862,2019,Sep,NSA,Europe - European Union
6056.199178390015,2019,Oct,NSA,Europe - European Union
3911.778398498632,2019,Nov,NSA,Europe - European Union
3394.9018824159293,2019,Dec,NSA,Europe - European Union
3696.744588816861,2020,Jan,NSA,Europe - European Union
3466.032285062617,2020,Feb,NSA,Europe - European Union
1957.0236897543152,2020,Mar,NSA,Europe - European Union
0,2020,Apr,NSA,Europe - European Union
0,2020,May,NSA,Europe - European Union
0,2020,Jun,NSA,Europe - European Union
0,2020,Jul,NSA,Europe - European Union
0,2020,Aug,NSA,Europe - European Union
0,2020,Sep,NSA,Europe - European Union
0,2020,Oct,NSA,Europe - European Union
0,2020,Nov,NSA,Europe - European Union
0,2020,Dec,NSA,Europe - European Union
58.74445445736873,2021,Jan *,NSA,Europe - European Union
118.1885055542001,2021,Feb *,NSA,Europe - European Union
142.09360898842883,2021,Mar *,NSA,Europe - European Union
120.57936151932199,2021,Apr *,NSA,Europe - European Union
193.77318533394273,2021,May *,NSA,Europe - European Union
333.8774941467359,2021,Jun *,NSA,Europe - European Union
1208.1626292899666,2021,Jul,NSA,Europe - European Union
2527.1918261562514,2021,Aug,NSA,Europe - European Union
3099.2223353700497,2021,Sep,NSA,Europe - European Union
2592.587227311094,2021,Oct,NSA,Europe - European Union
2062.158305608966,2021,Nov,NSA,Europe - European Union
1946.6544021444727,2021,Dec,NSA,Europe - European Union
1497.9286177902143,2022,Jan,NSA,Europe - European Union
2053.022280340203,2022,Feb,NSA,Europe - European Union
2778.991813959057,2022,Mar,NSA,Europe - European Union
4414.742683837156,2022,Apr,NSA,Europe - European Union
4641.3588416731845,2022,May ,NSA,Europe - European Union
6119.284592571488,2022,June,NSA,Europe - European Union
5423.123898155981,2022,July,NSA,Europe - European Union
6857.171891710602,2022,Aug,NSA,Europe - European Union
6352.519029884341,2022,Sep,NSA,Europe - European Union
5484.282102723588,2022,Oct,NSA,Europe - European Union
3102.9079804583694,2022,Nov,NSA,Europe - European Union
2578.767073136051,2022,Dec†,NSA,Europe - European Union
496.1049582724145,2018,Feb,NSA,Europe - Other EU
524.9228361904585,2018,Mar,NSA,Europe - Other EU
767.7824728871175,2018,Apr,NSA,Europe - Other EU
761.1392005821558,2018,May,NSA,Europe - Other EU
968.4903140926467,2018,Jun,NSA,Europe - Other EU
1035.084035810449,2018,Jul,NSA,Europe - Other EU
1443.204017334513,2018,Aug,NSA,Europe - Other EU
876.9913755996788,2018,Sep,NSA,Europe - Other EU
785.7736389357287,2018,Oct,NSA,Europe - Other EU
640.6915372963033,2018,Nov,NSA,Europe - Other EU
512.2063963068234,2018,Dec,NSA,Europe - Other EU
855.2187449422607,2019,Jan,NSA,Europe - Other EU
584.515427944799,2019,Feb,NSA,Europe - Other EU
678.0786402796821,2019,Mar,NSA,Europe - Other EU
882.8275034988073,2019,Apr,NSA,Europe - Other EU
950.1921450181535,2019,May,NSA,Europe - Other EU
1083.7845623650892,2019,Jun,NSA,Europe - Other EU
1074.629279938596,2019,Jul,NSA,Europe - Other EU
1343.758010647838,2019,Aug,NSA,Europe - Other EU
1093.0846413415031,2019,Sep,NSA,Europe - Other EU
908.6680577046062,2019,Oct,NSA,Europe - Other EU
749.1143814105311,2019,Nov,NSA,Europe - Other EU
516.4663858687261,2019,Dec,NSA,Europe - Other EU
791.641354908287,2020,Jan,NSA,Europe - Other EU
581.7328027604425,2020,Feb,NSA,Europe - Other EU
284.1702151354063,2020,Mar,NSA,Europe - Other EU
0,2020,Apr,NSA,Europe - Other EU
0,2020,May,NSA,Europe - Other EU
0,2020,Jun,NSA,Europe - Other EU
0,2020,Jul,NSA,Europe - Other EU
0,2020,Aug,NSA,Europe - Other EU
0,2020,Sep,NSA,Europe - Other EU
0,2020,Oct,NSA,Europe - Other EU
0,2020,Nov,NSA,Europe - Other EU
0,2020,Dec,NSA,Europe - Other EU
23.475655651509364,2021,Jan *,NSA,Europe - Other EU
65.22372092981047,2021,Feb *,NSA,Europe - Other EU
62.45652441868018,2021,Mar *,NSA,Europe - Other EU
57.13620663618857,2021,Apr *,NSA,Europe - Other EU
76.08361859000829,2021,May *,NSA,Europe - Other EU
106.04285777380301,2021,Jun *,NSA,Europe - Other EU
253.88883620283582,2021,Jul,NSA,Europe - Other EU
621.6742047878647,2021,Aug,NSA,Europe - Other EU
732.4314513963521,2021,Sep,NSA,Europe - Other EU
400.3685498137048,2021,Oct,NSA,Europe - Other EU
367.5431978029157,2021,Nov,NSA,Europe - Other EU
308.4581089399845,2021,Dec,NSA,Europe - Other EU
298.21577055762873,2022,Jan,NSA,Europe - Other EU
359.1376178753435,2022,Feb,NSA,Europe - Other EU
379.6958940190613,2022,Mar,NSA,Europe - Other EU
665.7885871546621,2022,Apr,NSA,Europe - Other EU
660.269338845349,2022,May ,NSA,Europe - Other EU
795.8515283219114,2022,June,NSA,Europe - Other EU
