Value,Identifier,Construction,Time Period,Adjustment
30.8,MV36,Public new housing,1997,Seasonally Adjusted
44.8,MV37,Private new housing,1997,Seasonally Adjusted
42.6,MVL7,Total new housing,1997,Seasonally Adjusted
61.2,MV38,Infrastructure new work,1997,Seasonally Adjusted
57.6,MV39,Public other new work,1997,Seasonally Adjusted
152.1,MV3A,Private industrial new work,1997,Seasonally Adjusted
84.3,MV3B,Private commercial new work,1997,Seasonally Adjusted
63.5,MV3C,All new work,1997,Seasonally Adjusted
124.1,MV3D,Public housing R&M,1997,Seasonally Adjusted
93,MV3E,Private housing R&M,1997,Seasonally Adjusted
101.8,MV3F,Total housing R&M,1997,Seasonally Adjusted
79.2,MV3G,Non housing R&M,1997,Seasonally Adjusted
89.3,MV3H,All R&M,1997,Seasonally Adjusted
72,MV3I,All work,1997,Seasonally Adjusted
24.9,MV36,Public new housing,1998,Seasonally Adjusted
21.6,MV36,Public new housing,1999,Seasonally Adjusted
27.1,MV36,Public new housing,2000,Seasonally Adjusted
27.7,MV36,Public new housing,2001,Seasonally Adjusted
31.4,MV36,Public new housing,2002,Seasonally Adjusted
35.7,MV36,Public new housing,2003,Seasonally Adjusted
42.9,MV36,Public new housing,2004,Seasonally Adjusted
40.3,MV36,Public new housing,2005,Seasonally Adjusted
47.6,MV36,Public new housing,2006,Seasonally Adjusted
54.9,MV36,Public new housing,2007,Seasonally Adjusted
49.6,MV36,Public new housing,2008,Seasonally Adjusted
50.6,MV36,Public new housing,2009,Seasonally Adjusted
79.2,MV36,Public new housing,2010,Seasonally Adjusted
81.2,MV36,Public new housing,2011,Seasonally Adjusted
67.8,MV36,Public new housing,2012,Seasonally Adjusted
71.9,MV36,Public new housing,2013,Seasonally Adjusted
95.3,MV36,Public new housing,2014,Seasonally Adjusted
79.9,MV36,Public new housing,2015,Seasonally Adjusted
75.9,MV36,Public new housing,2016,Seasonally Adjusted
88.4,MV36,Public new housing,2017,Seasonally Adjusted
86.1,MV36,Public new housing,2018,Seasonally Adjusted
100,MV36,Public new housing,2019,Seasonally Adjusted
67.4,MV36,Public new housing,2020,Seasonally Adjusted
73,MV36,Public new housing,2021,Seasonally Adjusted
76.4,MV36,Public new housing,2022,Seasonally Adjusted
29.9,MV36,Public new housing,Jan to Mar 1997,Seasonally Adjusted
32,MV36,Public new housing,Apr to June 1997,Seasonally Adjusted
33,MV36,Public new housing,July to Sept 1997,Seasonally Adjusted
28.1,MV36,Public new housing,Oct to Dec 1997,Seasonally Adjusted
26.9,MV36,Public new housing,Jan to Mar 1998,Seasonally Adjusted
25.9,MV36,Public new housing,Apr to June 1998,Seasonally Adjusted
23.8,MV36,Public new housing,July to Sept 1998,Seasonally Adjusted
23,MV36,Public new housing,Oct to Dec 1998,Seasonally Adjusted
21.6,MV36,Public new housing,Jan to Mar 1999,Seasonally Adjusted
19.9,MV36,Public new housing,Apr to June 1999,Seasonally Adjusted
21.4,MV36,Public new housing,July to Sept 1999,Seasonally Adjusted
23.5,MV36,Public new housing,Oct to Dec 1999,Seasonally Adjusted
26,MV36,Public new housing,Jan to Mar 2000,Seasonally Adjusted
26.8,MV36,Public new housing,Apr to June 2000,Seasonally Adjusted
26.8,MV36,Public new housing,July to Sept 2000,Seasonally Adjusted
28.7,MV36,Public new housing,Oct to Dec 2000,Seasonally Adjusted
24,MV36,Public new housing,Jan to Mar 2001,Seasonally Adjusted
29,MV36,Public new housing,Apr to June 2001,Seasonally Adjusted
27.8,MV36,Public new housing,July to Sept 2001,Seasonally Adjusted
30.1,MV36,Public new housing,Oct to Dec 2001,Seasonally Adjusted
31.2,MV36,Public new housing,Jan to Mar 2002,Seasonally Adjusted
30.5,MV36,Public new housing,Apr to June 2002,Seasonally Adjusted
32.2,MV36,Public new housing,July to Sept 2002,Seasonally Adjusted
31.8,MV36,Public new housing,Oct to Dec 2002,Seasonally Adjusted
33.1,MV36,Public new housing,Jan to Mar 2003,Seasonally Adjusted
34.5,MV36,Public new housing,Apr to June 2003,Seasonally Adjusted
36.3,MV36,Public new housing,July to Sept 2003,Seasonally Adjusted
39,MV36,Public new housing,Oct to Dec 2003,Seasonally Adjusted
42.6,MV36,Public new housing,Jan to Mar 2004,Seasonally Adjusted
43.7,MV36,Public new housing,Apr to June 2004,Seasonally Adjusted
43.2,MV36,Public new housing,July to Sept 2004,Seasonally Adjusted
42.1,MV36,Public new housing,Oct to Dec 2004,Seasonally Adjusted
40.4,MV36,Public new housing,Jan to Mar 2005,Seasonally Adjusted
39.6,MV36,Public new housing,Apr to June 2005,Seasonally Adjusted
38.8,MV36,Public new housing,July to Sept 2005,Seasonally Adjusted
42.6,MV36,Public new housing,Oct to Dec 2005,Seasonally Adjusted
44.8,MV36,Public new housing,Jan to Mar 2006,Seasonally Adjusted
47,MV36,Public new housing,Apr to June 2006,Seasonally Adjusted
48.9,MV36,Public new housing,July to Sept 2006,Seasonally Adjusted
49.6,MV36,Public new housing,Oct to Dec 2006,Seasonally Adjusted
54.8,MV36,Public new housing,Jan to Mar 2007,Seasonally Adjusted
56,MV36,Public new housing,Apr to June 2007,Seasonally Adjusted
54.9,MV36,Public new housing,July to Sept 2007,Seasonally Adjusted
54,MV36,Public new housing,Oct to Dec 2007,Seasonally Adjusted
51.8,MV36,Public new housing,Jan to Mar 2008,Seasonally Adjusted
51.1,MV36,Public new housing,Apr to June 2008,Seasonally Adjusted
49.8,MV36,Public new housing,July to Sept 2008,Seasonally Adjusted
46,MV36,Public new housing,Oct to Dec 2008,Seasonally Adjusted
43,MV36,Public new housing,Jan to Mar 2009,Seasonally Adjusted
45,MV36,Public new housing,Apr to June 2009,Seasonally Adjusted
52.9,MV36,Public new housing,July to Sept 2009,Seasonally Adjusted
61.6,MV36,Public new housing,Oct to Dec 2009,Seasonally Adjusted
72.3,MV36,Public new housing,Jan to Mar 2010,Seasonally Adjusted
76.3,MV36,Public new housing,Apr to June 2010,Seasonally Adjusted
85.3,MV36,Public new housing,July to Sept 2010,Seasonally Adjusted
83,MV36,Public new housing,Oct to Dec 2010,Seasonally Adjusted
87.4,MV36,Public new housing,Jan to Mar 2011,Seasonally Adjusted
83.6,MV36,Public new housing,Apr to June 2011,Seasonally Adjusted
77.8,MV36,Public new housing,July to Sept 2011,Seasonally Adjusted
76,MV36,Public new housing,Oct to Dec 2011,Seasonally Adjusted
73.6,MV36,Public new housing,Jan to Mar 2012,Seasonally Adjusted
65.1,MV36,Public new housing,Apr to June 2012,Seasonally Adjusted
66.1,MV36,Public new housing,July to Sept 2012,Seasonally Adjusted
66.2,MV36,Public new housing,Oct to Dec 2012,Seasonally Adjusted
67.1,MV36,Public new housing,Jan to Mar 2013,Seasonally Adjusted
69.2,MV36,Public new housing,Apr to June 2013,Seasonally Adjusted
71.1,MV36,Public new housing,July to Sept 2013,Seasonally Adjusted
80.2,MV36,Public new housing,Oct to Dec 2013,Seasonally Adjusted
88.6,MV36,Public new housing,Jan to Mar 2014,Seasonally Adjusted
96.7,MV36,Public new housing,Apr to June 2014,Seasonally Adjusted
99.4,MV36,Public new housing,July to Sept 2014,Seasonally Adjusted
96.6,MV36,Public new housing,Oct to Dec 2014,Seasonally Adjusted
92.4,MV36,Public new housing,Jan to Mar 2015,Seasonally Adjusted
85.7,MV36,Public new housing,Apr to June 2015,Seasonally Adjusted
71.4,MV36,Public new housing,July to Sept 2015,Seasonally Adjusted
69.9,MV36,Public new housing,Oct to Dec 2015,Seasonally Adjusted
77.3,MV36,Public new housing,Jan to Mar 2016,Seasonally Adjusted
73.7,MV36,Public new housing,Apr to June 2016,Seasonally Adjusted
74.8,MV36,Public new housing,July to Sept 2016,Seasonally Adjusted
77.9,MV36,Public new housing,Oct to Dec 2016,Seasonally Adjusted
87.6,MV36,Public new housing,Jan to Mar 2017,Seasonally Adjusted
88.6,MV36,Public new housing,Apr to June 2017,Seasonally Adjusted
88.3,MV36,Public new housing,July to Sept 2017,Seasonally Adjusted
89.2,MV36,Public new housing,Oct to Dec 2017,Seasonally Adjusted
83.3,MV36,Public new housing,Jan to Mar 2018,Seasonally Adjusted
83.9,MV36,Public new housing,Apr to June 2018,Seasonally Adjusted
87.6,MV36,Public new housing,July to Sept 2018,Seasonally Adjusted
89.6,MV36,Public new housing,Oct to Dec 2018,Seasonally Adjusted
95.7,MV36,Public new housing,Jan to Mar 2019,Seasonally Adjusted
103.6,MV36,Public new housing,Apr to June 2019,Seasonally Adjusted
98.1,MV36,Public new housing,July to Sept 2019,Seasonally Adjusted
102.6,MV36,Public new housing,Oct to Dec 2019,Seasonally Adjusted
98.1,MV36,Public new housing,Jan to Mar 2020,Seasonally Adjusted
37.7,MV36,Public new housing,Apr to June 2020,Seasonally Adjusted
67.2,MV36,Public new housing,July to Sept 2020,Seasonally Adjusted
66.7,MV36,Public new housing,Oct to Dec 2020,Seasonally Adjusted
69.7,MV36,Public new housing,Jan to Mar 2021,Seasonally Adjusted
70.8,MV36,Public new housing,Apr to June 2021,Seasonally Adjusted
75,MV36,Public new housing,July to Sept 2021,Seasonally Adjusted
76.4,MV36,Public new housing,Oct to Dec 2021,Seasonally Adjusted
80,MV36,Public new housing,Jan to Mar 2022,Seasonally Adjusted
76.9,MV36,Public new housing,Apr to Jun 2022,Seasonally Adjusted
71.8,MV36,Public new housing,Jul to Sep 2022,Seasonally Adjusted
76.8,MV36,Public new housing,Oct to Dec 2022,Seasonally Adjusted
77.9,MV36,Public new housing,Jan to Mar 2023,Seasonally Adjusted
63.4,MV36,Public new housing,Jan 2010,Seasonally Adjusted
78.3,MV36,Public new housing,Feb 2010,Seasonally Adjusted
75.1,MV36,Public new housing,Mar 2010,Seasonally Adjusted
77.4,MV36,Public new housing,Apr 2010,Seasonally Adjusted
78.8,MV36,Public new housing,May 2010,Seasonally Adjusted
72.9,MV36,Public new housing,Jun 2010,Seasonally Adjusted
83.7,MV36,Public new housing,Jul 2010,Seasonally Adjusted
87.3,MV36,Public new housing,Aug 2010,Seasonally Adjusted
84.8,MV36,Public new housing,Sep 2010,Seasonally Adjusted
85.3,MV36,Public new housing,Oct 2010,Seasonally Adjusted
85.3,MV36,Public new housing,Nov 2010,Seasonally Adjusted
78.5,MV36,Public new housing,Dec 2010,Seasonally Adjusted
87.3,MV36,Public new housing,Jan 2011,Seasonally Adjusted
86.6,MV36,Public new housing,Feb 2011,Seasonally Adjusted
88.3,MV36,Public new housing,Mar 2011,Seasonally Adjusted
85.7,MV36,Public new housing,Apr 2011,Seasonally Adjusted
85,MV36,Public new housing,May 2011,Seasonally Adjusted
80.1,MV36,Public new housing,Jun 2011,Seasonally Adjusted
74.1,MV36,Public new housing,Jul 2011,Seasonally Adjusted
76.9,MV36,Public new housing,Aug 2011,Seasonally Adjusted
82.2,MV36,Public new housing,Sep 2011,Seasonally Adjusted
75.8,MV36,Public new housing,Oct 2011,Seasonally Adjusted
78.2,MV36,Public new housing,Nov 2011,Seasonally Adjusted
73.9,MV36,Public new housing,Dec 2011,Seasonally Adjusted
81,MV36,Public new housing,Jan 2012,Seasonally Adjusted
71.6,MV36,Public new housing,Feb 2012,Seasonally Adjusted
68.3,MV36,Public new housing,Mar 2012,Seasonally Adjusted
69.9,MV36,Public new housing,Apr 2012,Seasonally Adjusted
66.3,MV36,Public new housing,May 2012,Seasonally Adjusted
59.3,MV36,Public new housing,Jun 2012,Seasonally Adjusted
67.3,MV36,Public new housing,Jul 2012,Seasonally Adjusted
65.7,MV36,Public new housing,Aug 2012,Seasonally Adjusted
65.4,MV36,Public new housing,Sep 2012,Seasonally Adjusted
65.4,MV36,Public new housing,Oct 2012,Seasonally Adjusted
65.3,MV36,Public new housing,Nov 2012,Seasonally Adjusted
67.8,MV36,Public new housing,Dec 2012,Seasonally Adjusted
66.5,MV36,Public new housing,Jan 2013,Seasonally Adjusted
67.2,MV36,Public new housing,Feb 2013,Seasonally Adjusted
67.6,MV36,Public new housing,Mar 2013,Seasonally Adjusted
67.3,MV36,Public new housing,Apr 2013,Seasonally Adjusted
70.2,MV36,Public new housing,May 2013,Seasonally Adjusted
70.1,MV36,Public new housing,Jun 2013,Seasonally Adjusted
70.3,MV36,Public new housing,Jul 2013,Seasonally Adjusted
71.8,MV36,Public new housing,Aug 2013,Seasonally Adjusted
71,MV36,Public new housing,Sep 2013,Seasonally Adjusted
80.9,MV36,Public new housing,Oct 2013,Seasonally Adjusted
80.8,MV36,Public new housing,Nov 2013,Seasonally Adjusted
78.8,MV36,Public new housing,Dec 2013,Seasonally Adjusted
87.3,MV36,Public new housing,Jan 2014,Seasonally Adjusted
89.1,MV36,Public new housing,Feb 2014,Seasonally Adjusted
89.6,MV36,Public new housing,Mar 2014,Seasonally Adjusted
90,MV36,Public new housing,Apr 2014,Seasonally Adjusted
98.8,MV36,Public new housing,May 2014,Seasonally Adjusted
101.1,MV36,Public new housing,Jun 2014,Seasonally Adjusted
97.1,MV36,Public new housing,Jul 2014,Seasonally Adjusted
101.6,MV36,Public new housing,Aug 2014,Seasonally Adjusted
99.6,MV36,Public new housing,Sep 2014,Seasonally Adjusted
99.2,MV36,Public new housing,Oct 2014,Seasonally Adjusted
94.9,MV36,Public new housing,Nov 2014,Seasonally Adjusted
95.6,MV36,Public new housing,Dec 2014,Seasonally Adjusted
93.6,MV36,Public new housing,Jan 2015,Seasonally Adjusted
93.8,MV36,Public new housing,Feb 2015,Seasonally Adjusted
89.9,MV36,Public new housing,Mar 2015,Seasonally Adjusted
94.4,MV36,Public new housing,Apr 2015,Seasonally Adjusted
83.7,MV36,Public new housing,May 2015,Seasonally Adjusted
79.1,MV36,Public new housing,Jun 2015,Seasonally Adjusted
75,MV36,Public new housing,Jul 2015,Seasonally Adjusted
69.1,MV36,Public new housing,Aug 2015,Seasonally Adjusted
70.2,MV36,Public new housing,Sep 2015,Seasonally Adjusted
70,MV36,Public new housing,Oct 2015,Seasonally Adjusted
67.6,MV36,Public new housing,Nov 2015,Seasonally Adjusted
72.3,MV36,Public new housing,Dec 2015,Seasonally Adjusted
80.5,MV36,Public new housing,Jan 2016,Seasonally Adjusted
74.5,MV36,Public new housing,Feb 2016,Seasonally Adjusted
76.9,MV36,Public new housing,Mar 2016,Seasonally Adjusted
70.6,MV36,Public new housing,Apr 2016,Seasonally Adjusted
74.4,MV36,Public new housing,May 2016,Seasonally Adjusted
76,MV36,Public new housing,Jun 2016,Seasonally Adjusted
74.7,MV36,Public new housing,Jul 2016,Seasonally Adjusted
75.6,MV36,Public new housing,Aug 2016,Seasonally Adjusted
74.2,MV36,Public new housing,Sep 2016,Seasonally Adjusted
75.6,MV36,Public new housing,Oct 2016,Seasonally Adjusted
76.5,MV36,Public new housing,Nov 2016,Seasonally Adjusted
81.4,MV36,Public new housing,Dec 2016,Seasonally Adjusted
87.3,MV36,Public new housing,Jan 2017,Seasonally Adjusted
86.7,MV36,Public new housing,Feb 2017,Seasonally Adjusted
88.9,MV36,Public new housing,Mar 2017,Seasonally Adjusted
86.7,MV36,Public new housing,Apr 2017,Seasonally Adjusted
94.5,MV36,Public new housing,May 2017,Seasonally Adjusted
84.6,MV36,Public new housing,Jun 2017,Seasonally Adjusted
88.2,MV36,Public new housing,Jul 2017,Seasonally Adjusted
88.1,MV36,Public new housing,Aug 2017,Seasonally Adjusted
88.6,MV36,Public new housing,Sep 2017,Seasonally Adjusted
82.3,MV36,Public new housing,Oct 2017,Seasonally Adjusted
90.3,MV36,Public new housing,Nov 2017,Seasonally Adjusted
94.8,MV36,Public new housing,Dec 2017,Seasonally Adjusted
83.1,MV36,Public new housing,Jan 2018,Seasonally Adjusted
84,MV36,Public new housing,Feb 2018,Seasonally Adjusted
82.9,MV36,Public new housing,Mar 2018,Seasonally Adjusted
82.3,MV36,Public new housing,Apr 2018,Seasonally Adjusted
83.1,MV36,Public new housing,May 2018,Seasonally Adjusted
86.4,MV36,Public new housing,Jun 2018,Seasonally Adjusted
86.7,MV36,Public new housing,Jul 2018,Seasonally Adjusted
86,MV36,Public new housing,Aug 2018,Seasonally Adjusted
90,MV36,Public new housing,Sep 2018,Seasonally Adjusted
85.7,MV36,Public new housing,Oct 2018,Seasonally Adjusted
86.7,MV36,Public new housing,Nov 2018,Seasonally Adjusted
96.3,MV36,Public new housing,Dec 2018,Seasonally Adjusted
95.8,MV36,Public new housing,Jan 2019,Seasonally Adjusted
94.9,MV36,Public new housing,Feb 2019,Seasonally Adjusted
96.5,MV36,Public new housing,Mar 2019,Seasonally Adjusted
97.6,MV36,Public new housing,Apr 2019,Seasonally Adjusted
101.3,MV36,Public new housing,May 2019,Seasonally Adjusted
111.9,MV36,Public new housing,Jun 2019,Seasonally Adjusted
94.8,MV36,Public new housing,Jul 2019,Seasonally Adjusted
98.5,MV36,Public new housing,Aug 2019,Seasonally Adjusted
100.9,MV36,Public new housing,Sep 2019,Seasonally Adjusted
103,MV36,Public new housing,Oct 2019,Seasonally Adjusted
103.6,MV36,Public new housing,Nov 2019,Seasonally Adjusted
101.3,MV36,Public new housing,Dec 2019,Seasonally Adjusted
102.3,MV36,Public new housing,Jan 2020,Seasonally Adjusted
100,MV36,Public new housing,Feb 2020,Seasonally Adjusted
91.9,MV36,Public new housing,Mar 2020,Seasonally Adjusted
31.8,MV36,Public new housing,Apr 2020,Seasonally Adjusted
37.1,MV36,Public new housing,May 2020,Seasonally Adjusted
44.2,MV36,Public new housing,Jun 2020,Seasonally Adjusted
67.4,MV36,Public new housing,Jul 2020,Seasonally Adjusted
69.1,MV36,Public new housing,Aug 2020,Seasonally Adjusted
65.1,MV36,Public new housing,Sep 2020,Seasonally Adjusted
70.1,MV36,Public new housing,Oct 2020,Seasonally Adjusted
70.6,MV36,Public new housing,Nov 2020,Seasonally Adjusted
59.3,MV36,Public new housing,Dec 2020,Seasonally Adjusted
66.9,MV36,Public new housing,Jan 2021,Seasonally Adjusted
72,MV36,Public new housing,Feb 2021,Seasonally Adjusted
70.3,MV36,Public new housing,Mar 2021,Seasonally Adjusted
72.6,MV36,Public new housing,Apr 2021,Seasonally Adjusted
72.6,MV36,Public new housing,May 2021,Seasonally Adjusted
67.2,MV36,Public new housing,Jun 2021,Seasonally Adjusted
73.9,MV36,Public new housing,Jul 2021,Seasonally Adjusted
78.5,MV36,Public new housing,Aug 2021,Seasonally Adjusted
72.5,MV36,Public new housing,Sep 2021,Seasonally Adjusted
71.8,MV36,Public new housing,Oct 2021,Seasonally Adjusted
78.6,MV36,Public new housing,Nov 2021,Seasonally Adjusted
78.8,MV36,Public new housing,Dec 2021,Seasonally Adjusted
80.4,MV36,Public new housing,Jan 2022,Seasonally Adjusted
78.4,MV36,Public new housing,Feb 2022,Seasonally Adjusted
81.1,MV36,Public new housing,Mar 2022,Seasonally Adjusted
80.4,MV36,Public new housing,Apr 2022,Seasonally Adjusted
73.5,MV36,Public new housing,May 2022,Seasonally Adjusted
76.9,MV36,Public new housing,Jun 2022,Seasonally Adjusted
74.1,MV36,Public new housing,Jul 2022,Seasonally Adjusted
68.7,MV36,Public new housing,Aug 2022,Seasonally Adjusted
72.6,MV36,Public new housing,Sep 2022,Seasonally Adjusted
75.7,MV36,Public new housing,Oct 2022,Seasonally Adjusted
75.6,MV36,Public new housing,Nov 2022,Seasonally Adjusted
79.2,MV36,Public new housing,Dec 2022,Seasonally Adjusted
77.5,MV36,Public new housing,Jan 2023,Seasonally Adjusted
78.4,MV36,Public new housing,Feb 2023,Seasonally Adjusted
77.8,MV36,Public new housing,Mar 2023,Seasonally Adjusted
74.2,MV36,Public new housing,Apr 2023,Seasonally Adjusted
45.3,MV37,Private new housing,1998,Seasonally Adjusted
40.7,MV37,Private new housing,1999,Seasonally Adjusted
45.5,MV37,Private new housing,2000,Seasonally Adjusted
42.5,MV37,Private new housing,2001,Seasonally Adjusted
46.3,MV37,Private new housing,2002,Seasonally Adjusted
57.8,MV37,Private new housing,2003,Seasonally Adjusted
70.2,MV37,Private new housing,2004,Seasonally Adjusted
72.2,MV37,Private new housing,2005,Seasonally Adjusted
72.5,MV37,Private new housing,2006,Seasonally Adjusted
71.3,MV37,Private new housing,2007,Seasonally Adjusted
55.3,MV37,Private new housing,2008,Seasonally Adjusted
38,MV37,Private new housing,2009,Seasonally Adjusted
46.1,MV37,Private new housing,2010,Seasonally Adjusted
50.1,MV37,Private new housing,2011,Seasonally Adjusted
48.1,MV37,Private new housing,2012,Seasonally Adjusted
52.9,MV37,Private new housing,2013,Seasonally Adjusted
67.4,MV37,Private new housing,2014,Seasonally Adjusted
74,MV37,Private new housing,2015,Seasonally Adjusted
83.6,MV37,Private new housing,2016,Seasonally Adjusted
90.4,MV37,Private new housing,2017,Seasonally Adjusted
95.4,MV37,Private new housing,2018,Seasonally Adjusted
100,MV37,Private new housing,2019,Seasonally Adjusted
81.2,MV37,Private new housing,2020,Seasonally Adjusted
94.6,MV37,Private new housing,2021,Seasonally Adjusted
103.9,MV37,Private new housing,2022,Seasonally Adjusted
43,MV37,Private new housing,Jan to Mar 1997,Seasonally Adjusted
42.9,MV37,Private new housing,Apr to June 1997,Seasonally Adjusted
44.1,MV37,Private new housing,July to Sept 1997,Seasonally Adjusted
49.2,MV37,Private new housing,Oct to Dec 1997,Seasonally Adjusted
45.3,MV37,Private new housing,Jan to Mar 1998,Seasonally Adjusted
47.1,MV37,Private new housing,Apr to June 1998,Seasonally Adjusted
44.9,MV37,Private new housing,July to Sept 1998,Seasonally Adjusted
43.6,MV37,Private new housing,Oct to Dec 1998,Seasonally Adjusted
41.8,MV37,Private new housing,Jan to Mar 1999,Seasonally Adjusted
41.9,MV37,Private new housing,Apr to June 1999,Seasonally Adjusted
41.2,MV37,Private new housing,July to Sept 1999,Seasonally Adjusted
37.9,MV37,Private new housing,Oct to Dec 1999,Seasonally Adjusted
46.1,MV37,Private new housing,Jan to Mar 2000,Seasonally Adjusted
45.8,MV37,Private new housing,Apr to June 2000,Seasonally Adjusted
45.6,MV37,Private new housing,July to Sept 2000,Seasonally Adjusted
44.5,MV37,Private new housing,Oct to Dec 2000,Seasonally Adjusted
40.6,MV37,Private new housing,Jan to Mar 2001,Seasonally Adjusted
42.1,MV37,Private new housing,Apr to June 2001,Seasonally Adjusted
43.6,MV37,Private new housing,July to Sept 2001,Seasonally Adjusted
43.6,MV37,Private new housing,Oct to Dec 2001,Seasonally Adjusted
43.8,MV37,Private new housing,Jan to Mar 2002,Seasonally Adjusted
43.6,MV37,Private new housing,Apr to June 2002,Seasonally Adjusted
47.4,MV37,Private new housing,July to Sept 2002,Seasonally Adjusted
50.4,MV37,Private new housing,Oct to Dec 2002,Seasonally Adjusted
52.8,MV37,Private new housing,Jan to Mar 2003,Seasonally Adjusted
54.4,MV37,Private new housing,Apr to June 2003,Seasonally Adjusted
59.1,MV37,Private new housing,July to Sept 2003,Seasonally Adjusted
64.7,MV37,Private new housing,Oct to Dec 2003,Seasonally Adjusted
68.8,MV37,Private new housing,Jan to Mar 2004,Seasonally Adjusted
69.8,MV37,Private new housing,Apr to June 2004,Seasonally Adjusted
70.9,MV37,Private new housing,July to Sept 2004,Seasonally Adjusted
71.2,MV37,Private new housing,Oct to Dec 2004,Seasonally Adjusted
71.7,MV37,Private new housing,Jan to Mar 2005,Seasonally Adjusted
73.5,MV37,Private new housing,Apr to June 2005,Seasonally Adjusted
72.4,MV37,Private new housing,July to Sept 2005,Seasonally Adjusted
71.3,MV37,Private new housing,Oct to Dec 2005,Seasonally Adjusted
71,MV37,Private new housing,Jan to Mar 2006,Seasonally Adjusted
72,MV37,Private new housing,Apr to June 2006,Seasonally Adjusted
73.1,MV37,Private new housing,July to Sept 2006,Seasonally Adjusted
73.8,MV37,Private new housing,Oct to Dec 2006,Seasonally Adjusted
73.8,MV37,Private new housing,Jan to Mar 2007,Seasonally Adjusted
72.3,MV37,Private new housing,Apr to June 2007,Seasonally Adjusted
70.7,MV37,Private new housing,July to Sept 2007,Seasonally Adjusted
68.4,MV37,Private new housing,Oct to Dec 2007,Seasonally Adjusted
65,MV37,Private new housing,Jan to Mar 2008,Seasonally Adjusted
58.9,MV37,Private new housing,Apr to June 2008,Seasonally Adjusted
52.3,MV37,Private new housing,July to Sept 2008,Seasonally Adjusted
45.1,MV37,Private new housing,Oct to Dec 2008,Seasonally Adjusted
39.7,MV37,Private new housing,Jan to Mar 2009,Seasonally Adjusted
38.1,MV37,Private new housing,Apr to June 2009,Seasonally Adjusted
36.2,MV37,Private new housing,July to Sept 2009,Seasonally Adjusted
38,MV37,Private new housing,Oct to Dec 2009,Seasonally Adjusted
41.5,MV37,Private new housing,Jan to Mar 2010,Seasonally Adjusted
45.5,MV37,Private new housing,Apr to June 2010,Seasonally Adjusted
48.9,MV37,Private new housing,July to Sept 2010,Seasonally Adjusted
48.6,MV37,Private new housing,Oct to Dec 2010,Seasonally Adjusted
49.9,MV37,Private new housing,Jan to Mar 2011,Seasonally Adjusted
50.4,MV37,Private new housing,Apr to June 2011,Seasonally Adjusted
50.9,MV37,Private new housing,July to Sept 2011,Seasonally Adjusted
49.4,MV37,Private new housing,Oct to Dec 2011,Seasonally Adjusted
50.4,MV37,Private new housing,Jan to Mar 2012,Seasonally Adjusted
47.9,MV37,Private new housing,Apr to June 2012,Seasonally Adjusted
46.5,MV37,Private new housing,July to Sept 2012,Seasonally Adjusted
47.8,MV37,Private new housing,Oct to Dec 2012,Seasonally Adjusted
48.6,MV37,Private new housing,Jan to Mar 2013,Seasonally Adjusted
51.8,MV37,Private new housing,Apr to June 2013,Seasonally Adjusted
53.9,MV37,Private new housing,July to Sept 2013,Seasonally Adjusted
57.1,MV37,Private new housing,Oct to Dec 2013,Seasonally Adjusted
63,MV37,Private new housing,Jan to Mar 2014,Seasonally Adjusted
66.4,MV37,Private new housing,Apr to June 2014,Seasonally Adjusted
69.7,MV37,Private new housing,July to Sept 2014,Seasonally Adjusted
70.3,MV37,Private new housing,Oct to Dec 2014,Seasonally Adjusted
72.3,MV37,Private new housing,Jan to Mar 2015,Seasonally Adjusted
75.2,MV37,Private new housing,Apr to June 2015,Seasonally Adjusted
72.4,MV37,Private new housing,July to Sept 2015,Seasonally Adjusted
76.1,MV37,Private new housing,Oct to Dec 2015,Seasonally Adjusted
81.8,MV37,Private new housing,Jan to Mar 2016,Seasonally Adjusted
83.7,MV37,Private new housing,Apr to June 2016,Seasonally Adjusted
83.8,MV37,Private new housing,July to Sept 2016,Seasonally Adjusted
85.2,MV37,Private new housing,Oct to Dec 2016,Seasonally Adjusted
88.4,MV37,Private new housing,Jan to Mar 2017,Seasonally Adjusted
88.4,MV37,Private new housing,Apr to June 2017,Seasonally Adjusted
89.3,MV37,Private new housing,July to Sept 2017,Seasonally Adjusted
95.4,MV37,Private new housing,Oct to Dec 2017,Seasonally Adjusted
94.5,MV37,Private new housing,Jan to Mar 2018,Seasonally Adjusted
92.3,MV37,Private new housing,Apr to June 2018,Seasonally Adjusted
96.8,MV37,Private new housing,July to Sept 2018,Seasonally Adjusted
98,MV37,Private new housing,Oct to Dec 2018,Seasonally Adjusted
100.5,MV37,Private new housing,Jan to Mar 2019,Seasonally Adjusted
98.3,MV37,Private new housing,Apr to June 2019,Seasonally Adjusted
102.6,MV37,Private new housing,July to Sept 2019,Seasonally Adjusted
98.6,MV37,Private new housing,Oct to Dec 2019,Seasonally Adjusted
96.4,MV37,Private new housing,Jan to Mar 2020,Seasonally Adjusted
47.7,MV37,Private new housing,Apr to June 2020,Seasonally Adjusted
87.3,MV37,Private new housing,July to Sept 2020,Seasonally Adjusted
93.6,MV37,Private new housing,Oct to Dec 2020,Seasonally Adjusted
94.6,MV37,Private new housing,Jan to Mar 2021,Seasonally Adjusted
95.8,MV37,Private new housing,Apr to June 2021,Seasonally Adjusted
93.7,MV37,Private new housing,July to Sept 2021,Seasonally Adjusted
