Value,Product,Year,Quarter,CDID
734.4,Other manufacturing,2015,Dec,JQV5
233.0,Building of ships and boats,2016,Jan,JQR4
1579.7,Manufacture of air and spacecraft and related machinery,2016,Jan,JQS8
146.9,Manufacture of other transport equipment,2016,Jan,JQU4
577.3,Manufacture of furniture,2016,Jan,JQV2
772.0,Other manufacturing,2016,Jan,JQV5
251.3,Building of ships and boats,2016,Feb,JQR4
1801.9,Manufacture of air and spacecraft and related machinery,2016,Feb,JQS8
195.0,Manufacture of other transport equipment,2016,Feb,JQU4
686.3,Manufacture of furniture,2016,Feb,JQV2
844.6,Other manufacturing,2016,Feb,JQV5
480.1,Building of ships and boats,2016,Mar,JQR4
2316.1,Manufacture of air and spacecraft and related machinery,2016,Mar,JQS8
261.6,Manufacture of other transport equipment,2016,Mar,JQU4
751.2,Manufacture of furniture,2016,Mar,JQV2
872.0,Other manufacturing,2016,Mar,JQV5
920.0,Building of ships and boats,2016,Apr,JQR4
1896.1,Manufacture of air and spacecraft and related machinery,2016,Apr,JQS8
180.8,Manufacture of other transport equipment,2016,Apr,JQU4
701.1,Manufacture of furniture,2016,Apr,JQV2
818.4,Other manufacturing,2016,Apr,JQV5
356.0,Building of ships and boats,2016,May,JQR4
2401.2,Manufacture of air and spacecraft and related machinery,2016,May,JQS8
196.3,Manufacture of other transport equipment,2016,May,JQU4
680.9,Manufacture of furniture,2016,May,JQV2
789.9,Other manufacturing,2016,May,JQV5
347.8,Building of ships and boats,2016,Jun,JQR4
2600.1,Manufacture of air and spacecraft and related machinery,2016,Jun,JQS8
260.4,Manufacture of other transport equipment,2016,Jun,JQU4
688.6,Manufacture of furniture,2016,Jun,JQV2
825.2,Other manufacturing,2016,Jun,JQV5
233.2,Building of ships and boats,2016,Jul,JQR4
2098.4,Manufacture of air and spacecraft and related machinery,2016,Jul,JQS8
170.7,Manufacture of other transport equipment,2016,Jul,JQU4
704.6,Manufacture of furniture,2016,Jul,JQV2
789.3,Other manufacturing,2016,Jul,JQV5
227.0,Building of ships and boats,2016,Aug,JQR4
2127.5,Manufacture of air and spacecraft and related machinery,2016,Aug,JQS8
164.4,Manufacture of other transport equipment,2016,Aug,JQU4
751.3,Manufacture of furniture,2016,Aug,JQV2
755.3,Other manufacturing,2016,Aug,JQV5
364.1,Building of ships and boats,2016,Sep,JQR4
2217.7,Manufacture of air and spacecraft and related machinery,2016,Sep,JQS8
228.4,Manufacture of other transport equipment,2016,Sep,JQU4
776.7,Manufacture of furniture,2016,Sep,JQV2
863.0,Other manufacturing,2016,Sep,JQV5
254.2,Building of ships and boats,2016,Oct,JQR4
2557.6,Manufacture of air and spacecraft and related machinery,2016,Oct,JQS8
201.5,Manufacture of other transport equipment,2016,Oct,JQU4
776.1,Manufacture of furniture,2016,Oct,JQV2
841.6,Other manufacturing,2016,Oct,JQV5
312.9,Building of ships and boats,2016,Nov,JQR4
2493.2,Manufacture of air and spacecraft and related machinery,2016,Nov,JQS8
166.8,Manufacture of other transport equipment,2016,Nov,JQU4
793.7,Manufacture of furniture,2016,Nov,JQV2
908.1,Other manufacturing,2016,Nov,JQV5
561.0,Building of ships and boats,2016,Dec,JQR4
3312.4,Manufacture of air and spacecraft and related machinery,2016,Dec,JQS8
208.3,Manufacture of other transport equipment,2016,Dec,JQU4
584.5,Manufacture of furniture,2016,Dec,JQV2
823.4,Other manufacturing,2016,Dec,JQV5
229.1,Building of ships and boats,2017,Jan,JQR4
1742.7,Manufacture of air and spacecraft and related machinery,2017,Jan,JQS8
193.0,Manufacture of other transport equipment,2017,Jan,JQU4
662.8,Manufacture of furniture,2017,Jan,JQV2
839.8,Other manufacturing,2017,Jan,JQV5
319.6,Building of ships and boats,2017,Feb,JQR4
2344.4,Manufacture of air and spacecraft and related machinery,2017,Feb,JQS8
202.0,Manufacture of other transport equipment,2017,Feb,JQU4
718.7,Manufacture of furniture,2017,Feb,JQV2
869.1,Other manufacturing,2017,Feb,JQV5
575.7,Building of ships and boats,2017,Mar,JQR4
2896.9,Manufacture of air and spacecraft and related machinery,2017,Mar,JQS8
251.4,Manufacture of other transport equipment,2017,Mar,JQU4
813.4,Manufacture of furniture,2017,Mar,JQV2
1013.1,Other manufacturing,2017,Mar,JQV5
363.0,Building of ships and boats,2017,Apr,JQR4
2072.1,Manufacture of air and spacecraft and related machinery,2017,Apr,JQS8
213.8,Manufacture of other transport equipment,2017,Apr,JQU4
659.9,Manufacture of furniture,2017,Apr,JQV2
736.7,Other manufacturing,2017,Apr,JQV5
322.6,Building of ships and boats,2017,May,JQR4
2622.0,Manufacture of air and spacecraft and related machinery,2017,May,JQS8
233.8,Manufacture of other transport equipment,2017,May,JQU4
717.2,Manufacture of furniture,2017,May,JQV2
814.1,Other manufacturing,2017,May,JQV5
825.1,Building of ships and boats,2017,Jun,JQR4
3210.8,Manufacture of air and spacecraft and related machinery,2017,Jun,JQS8
258.6,Manufacture of other transport equipment,2017,Jun,JQU4
704.6,Manufacture of furniture,2017,Jun,JQV2
855.8,Other manufacturing,2017,Jun,JQV5
310.6,Building of ships and boats,2017,Jul,JQR4
2172.8,Manufacture of air and spacecraft and related machinery,2017,Jul,JQS8
222.4,Manufacture of other transport equipment,2017,Jul,JQU4
710.4,Manufacture of furniture,2017,Jul,JQV2
837.3,Other manufacturing,2017,Jul,JQV5
470.8,Building of ships and boats,2017,Aug,JQR4
2281.0,Manufacture of air and spacecraft and related machinery,2017,Aug,JQS8
206.0,Manufacture of other transport equipment,2017,Aug,JQU4
788.0,Manufacture of furniture,2017,Aug,JQV2
823.9,Other manufacturing,2017,Aug,JQV5
435.2,Building of ships and boats,2017,Sep,JQR4
2660.0,Manufacture of air and spacecraft and related machinery,2017,Sep,JQS8
244.3,Manufacture of other transport equipment,2017,Sep,JQU4
763.7,Manufacture of furniture,2017,Sep,JQV2
901.2,Other manufacturing,2017,Sep,JQV5
